"shows_names","shows_url"
"Austin & Ally","http://www.tv.com/shows/austin-and-ally/"
"The Americans","http://www.tv.com/shows/the-americans-2013/"
"Alias","http://www.tv.com/shows/alias/"
"Revolution","http://www.tv.com/shows/revolution-2012/"
"Veronica Mars","http://www.tv.com/shows/veronica-mars/"
"Monk","http://www.tv.com/shows/monk/"
"The X-Files","http://www.tv.com/shows/the-xfiles/"
"Live! with Kelly and Michael","http://www.tv.com/shows/live-with-kelly-and-michael/"
"Degrassi: The Next Generation","http://www.tv.com/shows/degrassi-the-next-generation/"
"The West Wing","http://www.tv.com/shows/the-west-wing/"
"Gunsmoke","http://www.tv.com/shows/gunsmoke/"
"Late Show with David Letterman","http://www.tv.com/shows/late-show-with-david-letterman/"
"NY Med","http://www.tv.com/shows/ny-med/"
"Forensic Files","http://www.tv.com/shows/forensic-files/"
"The Following","http://www.tv.com/shows/the-following/"
"Wilfred","http://www.tv.com/shows/wilfred-2011/"
"CSI: NY","http://www.tv.com/shows/csi-ny/"
"Young & Hungry","http://www.tv.com/shows/young-and-hungry/"
"Merlin","http://www.tv.com/shows/merlin/"
"America's Test Kitchen","http://www.tv.com/shows/americas-test-kitchen/"
"EastEnders","http://www.tv.com/shows/eastenders/"
"What's My Line?","http://www.tv.com/shows/whats-my-line/"
"Bad Teacher","http://www.tv.com/shows/bad-teacher/"
"Beverly Hills 90210","http://www.tv.com/shows/beverly-hills-90210/"
"Justified","http://www.tv.com/shows/justified/"
"America's Got Talent","http://www.tv.com/shows/americas-got-talent/"
"That's So Raven","http://www.tv.com/shows/thats-so-raven/"
"The Challenge","http://www.tv.com/shows/the-challenge-1998/"
"M*A*S*H","http://www.tv.com/shows/mash/"
"Will & Grace","http://www.tv.com/shows/will-and-grace/"
"Curious George","http://www.tv.com/shows/curious-george/"
"Dateline NBC","http://www.tv.com/shows/dateline-nbc/"
"America's Next Top Model","http://www.tv.com/shows/americas-next-top-model/"
"Knots Landing","http://www.tv.com/shows/knots-landing/"
"Parks and Recreation","http://www.tv.com/shows/parks-and-recreation/"
"Jeopardy!","http://www.tv.com/shows/jeopardy/"
"Black Box","http://www.tv.com/shows/the-black-box/"
"Fringe","http://www.tv.com/shows/fringe/"
"The Fairly OddParents","http://www.tv.com/shows/the-fairly-oddparents/"
"Crisis","http://www.tv.com/shows/crisis/"
"Sam & Cat","http://www.tv.com/shows/sam-and-cat/"
"Halt and Catch Fire","http://www.tv.com/shows/halt-and-catch-fire/"
"Boardwalk Empire","http://www.tv.com/shows/boardwalk-empire/"
"Coronation Street","http://www.tv.com/shows/coronation-street/"
"7th Heaven","http://www.tv.com/shows/7th-heaven/"
"Ghost Adventures","http://www.tv.com/shows/ghost-adventures/"
"Chicago Fire","http://www.tv.com/shows/chicago-fire/"
"The Early Show","http://www.tv.com/shows/the-early-show/"
"Looney Tunes","http://www.tv.com/shows/looney-tunes/"
"The Fresh Prince of Bel-Air","http://www.tv.com/shows/the-fresh-prince-of-belair/"
"King of the Hill","http://www.tv.com/shows/king-of-the-hill/"
"Bates Motel","http://www.tv.com/shows/bates-motel/"
"Law & Order: Criminal Intent","http://www.tv.com/shows/law-order-criminal-intent/"
"Dawson's Creek","http://www.tv.com/shows/dawsons-creek/"
"New Tricks","http://www.tv.com/shows/new-tricks/"
"It's Always Sunny in Philadelphia","http://www.tv.com/shows/its-always-sunny-in-philadelphia/"
"Teen Titans","http://www.tv.com/shows/teen-titans/"
"The Closer","http://www.tv.com/shows/the-closer/"
"The Newsroom","http://www.tv.com/shows/the-newsroom-2012/"
"Everybody Loves Raymond","http://www.tv.com/shows/everybody-loves-raymond/"
"Ghost Hunters","http://www.tv.com/shows/ghost-hunters/"
"Jessie","http://www.tv.com/shows/jessie/"
"Whose Line Is It Anyway?","http://www.tv.com/shows/whose-line-is-it-anyway/"
"Hee-Haw","http://www.tv.com/shows/hee-haw/"
"2 Broke Girls","http://www.tv.com/shows/2-broke-girls/"
"Undateable","http://www.tv.com/shows/undateable-2013/"
"The Twilight Zone","http://www.tv.com/shows/the-twilight-zone/"
"Judge Judy","http://www.tv.com/shows/judge-judy/"
"Happy Days","http://www.tv.com/shows/happy-days/"
"The Ellen DeGeneres Show","http://www.tv.com/shows/the-ellen-degeneres-show/"
"Archer","http://www.tv.com/shows/archer/"
"Spartacus: Blood and Sand","http://www.tv.com/shows/spartacus-blood-and-sand/"
"Love It or List It","http://www.tv.com/shows/love-it-or-list-it/"
"The Flash","http://www.tv.com/shows/the-flash/"
"CSI: Miami","http://www.tv.com/shows/csi-miami/"
"Sailor Moon","http://www.tv.com/shows/sailor-moon/"
"Entertainment Tonight","http://www.tv.com/shows/entertainment-tonight/"
"Perry Mason","http://www.tv.com/shows/perry-mason/"
"Lost Girl","http://www.tv.com/shows/lost-girl/"
"Phineas and Ferb","http://www.tv.com/shows/phineas-and-ferb/"
"Star Trek: Deep Space Nine","http://www.tv.com/shows/star-trek-deep-space-nine/"
"Nurse Jackie","http://www.tv.com/shows/nurse-jackie/"
"Star Trek","http://www.tv.com/shows/star-trek/"
"19 Kids and Counting","http://www.tv.com/shows/18-kids-and-counting/"
"MasterChef","http://www.tv.com/shows/masterchef/"
"The Killing","http://www.tv.com/shows/the-killing-tv/"
"The Secret Life of the American Teenager","http://www.tv.com/shows/the-secret-life-of-the-american-teenager/"
"WWE Friday Night SmackDown","http://www.tv.com/shows/friday-night-smackdown/"
"Banshee","http://www.tv.com/shows/banshee/"
"Rocket Power","http://www.tv.com/shows/rocket-power/"
"Diners, Drive-ins and Dives","http://www.tv.com/shows/diners-driveins-and-dives/"
"Almost Human","http://www.tv.com/shows/almost-human/"
"The Almighty Johnsons","http://www.tv.com/shows/the-almighty-johnsons/"
"Silicon Valley","http://www.tv.com/shows/silicon-valley/"
"The Killing","http://www.tv.com/shows/the-killing-tv/"
"Da Vinci's Demons","http://www.tv.com/shows/da-vincis-demons/"
"Banshee","http://www.tv.com/shows/banshee/"
"Cheers","http://www.tv.com/shows/cheers/"
"Jimmy Kimmel Live","http://www.tv.com/shows/jimmy-kimmel-live/"
"Blue's Clues","http://www.tv.com/shows/blues-clues/"
"Adventure Time","http://www.tv.com/shows/adventure-time/"
"Winx Club","http://www.tv.com/shows/winx-club/"
"Shameless","http://www.tv.com/shows/shameless/"
"The Tomorrow People","http://www.tv.com/shows/the-tomorrow-people-2013/"
"Home and Away","http://www.tv.com/shows/home-and-away/"
"The Brady Bunch","http://www.tv.com/shows/the-brady-bunch/"
"The L Word","http://www.tv.com/shows/the-l-word/"
"Hannah Montana","http://www.tv.com/shows/hannah-montana/"
"Endeavour","http://www.tv.com/shows/endeavour/"
"Stanley","http://www.tv.com/shows/stanley/"
"Turn","http://www.tv.com/shows/turn/"
"49 Days","http://www.tv.com/shows/49-days/"
"Bleach","http://www.tv.com/shows/bleach/"
"Frasier","http://www.tv.com/shows/frasier/"
"Lie to Me","http://www.tv.com/shows/lie-to-me/"
"Lilo & Stitch: The Series","http://www.tv.com/shows/lilo-and-stitch-the-series/"
"Doraemon","http://www.tv.com/shows/doraemon/"
"Judging Amy","http://www.tv.com/shows/judging-amy/"
"Daniel Boone","http://www.tv.com/shows/daniel-boone/"
"Melissa & Joey","http://www.tv.com/shows/melissa-and-joey/"
"Agatha Christie's Marple","http://www.tv.com/shows/agatha-christies-marple/"
"Last Comic Standing","http://www.tv.com/shows/last-comic-standing/"
"All in the Family","http://www.tv.com/shows/all-in-the-family/"
"Wizards of Waverly Place","http://www.tv.com/shows/wizards-of-waverly-place/"
"The Daily Show with Jon Stewart","http://www.tv.com/shows/the-daily-show-with-jon-stewart/"
"Felicity","http://www.tv.com/shows/felicity/"
"Dr. Quinn, Medicine Woman","http://www.tv.com/shows/dr-quinn-medicine-woman/"
"Welcome Back, Kotter","http://www.tv.com/shows/welcome-back-kotter/"
"Brooklyn Nine-Nine","http://www.tv.com/shows/brooklyn-ninenine/"
"Attack on Titan","http://www.tv.com/shows/attack-on-titan/"
"Dragons: Defenders of Berk","http://www.tv.com/shows/dragons-defenders-of-berk/"
"Bonanza","http://www.tv.com/shows/bonanza/"
"Make It or Break It","http://www.tv.com/shows/make-it-or-break-it/"
"The Waltons","http://www.tv.com/shows/the-waltons/"
"Veep","http://www.tv.com/shows/veep/"
"Lie to Me","http://www.tv.com/shows/lie-to-me/"
"Foyle's War","http://www.tv.com/shows/foyles-war/"
"Judging Amy","http://www.tv.com/shows/judging-amy/"
"The Rachael Ray Show","http://www.tv.com/shows/the-rachael-ray-show/"
"Once Upon a Time in Wonderland","http://www.tv.com/shows/once-upon-a-time-in-wonderland/"
"Legends","http://www.tv.com/shows/legends-2014/"
"Numb3rs","http://www.tv.com/shows/numb3rs/"
"Friday Night Lights","http://www.tv.com/shows/friday-night-lights/"
"The Wire","http://www.tv.com/shows/the-wire/"
"Ed, Edd n Eddy","http://www.tv.com/shows/ed-edd-n-eddy/"
"Pawn Stars","http://www.tv.com/shows/pawn-stars/"
"Last Comic Standing","http://www.tv.com/shows/last-comic-standing/"
"Ultimate Spider-Man","http://www.tv.com/shows/ultimate-spider-man/"
"MADtv","http://www.tv.com/shows/madtv/"
"Louie","http://www.tv.com/shows/louie/"
"A Touch of Frost","http://www.tv.com/shows/a-touch-of-frost/"
"Kodocha","http://www.tv.com/shows/kodocha/"
"Dr. Quinn, Medicine Woman","http://www.tv.com/shows/dr-quinn-medicine-woman/"
"Welcome to Sweden","http://www.tv.com/shows/welcome-to-sweden/"
"Mistresses","http://www.tv.com/shows/mistresses/"
"Extreme Makeover: Home Edition","http://www.tv.com/shows/extreme-makeover-home-edition/"
"Jericho","http://www.tv.com/shows/jericho/"
"Hardcore Pawn","http://www.tv.com/shows/hardcore-pawn/"
"The Outer Limits","http://www.tv.com/shows/the-outer-limits/"
"The Rifleman","http://www.tv.com/shows/the-rifleman/"
"Robin Hood","http://www.tv.com/shows/robin-hood/"
"Married... With Children","http://www.tv.com/shows/married-with-children/"
"Bad Girls Club","http://www.tv.com/shows/bad-girls-club/"
"Jewel in the Palace","http://www.tv.com/shows/jewel-in-the-palace/"
"The Colbert Report","http://www.tv.com/shows/the-colbert-report/"
"The Unit","http://www.tv.com/shows/the-unit/"
"Batman","http://www.tv.com/shows/batman-adam-west/"
"LA Ink","http://www.tv.com/shows/la-ink/"
