"Period","Category","Name","User_Rating","User_Votes","Year_Started","Show_url","sq","Rating"
"2001-2010","Game Show","House of Carters",7.7,149,2005,"http://www.tv.com/shows/house-of-carters/",0.0522854192358208,"Not so much !!"
"2001-2010","Comedy","Eastwick",8,903,2008,"http://www.tv.com/shows/eastwick/",0.329216306597724,"Not so much !!"
"2001-2010","Reality","A Shot at Love With Tila Tequila",7.5,281,2007,"http://www.tv.com/shows/a-shot-at-love-with-tila-tequila/",0.096044209046886,"Not so much !!"
"2001-2010","Reality","RuPaul's Drag Race",8.4,98,2009,"http://www.tv.com/shows/rupauls-drag-race/",0.0375153465657872,"Not so much !!"
"2001-2010","Animation","Rave Master",8.8,493,2002,"http://www.tv.com/shows/rave-master/",0.197712074272365,"Not so much !!"
"2001-2010","Game Show","The Big Game",4.7,6,2007,"http://www.tv.com/shows/the-big-game/",0.00128514671180175,"Not so much !!"
"2001-2010","Drama","The Real Housewives of Beverly Hills",5.6,53,2010,"http://www.tv.com/shows/the-real-housewives-of-beverly-hills/",0.0135259412788212,"Not so much !!"
"2001-2010","Fantasy","Super Milk Chan",7,113,2004,"http://www.tv.com/shows/the-super-milk-chan-show/",0.0360479095402547,"Not so much !!"
"2001-2010","Comedy","My Name Is Earl",8.9,11379,2005,"http://www.tv.com/shows/my-name-is-earl/",4.61527629287126,"Popular"
"2001-2010","Kids","Team Umizoomi",4.7,48,2010,"http://www.tv.com/shows/team-umizoomi/",0.010281173694414,"Not so much !!"
"2001-2010","Drama","The Shield",8.8,5434,2001,"http://www.tv.com/shows/the-shield/",2.1792442425883,"Popular"
"2001-2010","Comedy","Last Comic Standing",8,618,2003,"http://www.tv.com/shows/last-comic-standing/",0.2253108277712,"Not so much !!"
"2001-2010","Game Show","Last Comic Standing",8,618,2003,"http://www.tv.com/shows/last-comic-standing/",0.2253108277712,"Not so much !!"
"2001-2010","Reality","Keeping Up with the Kardashians",6.1,477,2007,"http://www.tv.com/shows/keeping-up-with-the-kardashians/",0.132602531465587,"Not so much !!"
"2001-2010","Animation","Higglytown Heroes",5.9,75,2005,"http://www.tv.com/shows/higglytown-heroes/",0.0201658659564636,"Not so much !!"
"2001-2010","Kids","All Grown Up!",7.8,1208,2004,"http://www.tv.com/shows/all-grown-up/",0.429403063024142,"Popular"
"2001-2010","Animation","Sym-Bionic Titan",8.8,180,2010,"http://www.tv.com/shows/sym-bionic-titan/",0.0721869642373748,"Not so much !!"
"2001-2010","Animation","Clifford the Big Red Dog",7.4,195,2001,"http://www.tv.com/shows/clifford-the-big-red-dog/",0.0657612306783661,"Not so much !!"
"2001-2010","Food & Cooking","Giada's Weekend Getaways",6.5,8,2006,"http://www.tv.com/shows/giadas-weekend-getaways/",0.00236977407849968,"Not so much !!"
"2001-2010","Reality","VH1 Tough Love",2.8,2,2009,"http://www.tv.com/shows/vh1-tough-love/",0.000255206439223042,"Not so much !!"
"2001-2010","Science Fiction","Dollhouse",8.2,6022,2008,"http://www.tv.com/shows/dollhouse/",2.25039215203741,"Popular"
"2001-2010","Travel","Dual Survival",9,46,2010,"http://www.tv.com/shows/dual-survival/",0.0188670474711321,"Not so much !!"
"2001-2010","Suspense","Lost Girl",8.7,1103,2010,"http://www.tv.com/shows/lost-girl/",0.437319019897899,"Popular"
"2001-2010","Drama","Medical Mysteries",0,0,2007,"http://www.tv.com/shows/medical-mysteries/",0,"Not so much !!"
"2001-2010","Suspense","Vampire Knight",8.2,394,2006,"http://www.tv.com/shows/vampire-knight/",0.147235886400322,"Not so much !!"
"2001-2010","Drama","Music Behind Bars",4.7,5,2001,"http://www.tv.com/shows/music-behind-bars/",0.00107095559316812,"Not so much !!"
"2001-2010","Sports","Sport Science",6.3,18,2006,"http://www.tv.com/shows/sport-science/",0.0051679303942666,"Not so much !!"
"2001-2010","Tech & Gaming","Sport Science",6.3,18,2006,"http://www.tv.com/shows/sport-science/",0.0051679303942666,"Not so much !!"
"2001-2010","Documentary","Hoarders",7.5,65,2006,"http://www.tv.com/shows/hoarders/",0.0222166319859345,"Not so much !!"
"2001-2010","Music","Music Behind Bars",4.7,5,2001,"http://www.tv.com/shows/music-behind-bars/",0.00107095559316812,"Not so much !!"
"2001-2010","Fantasy","Dragon Ball Z Kai",8.1,179,2009,"http://www.tv.com/shows/dragonball-z-kai/",0.0660756814695516,"Not so much !!"
"2001-2010","Talk & Interview","Late Night with Jimmy Fallon",6.3,256,2008,"http://www.tv.com/shows/late-night-with-jimmy-fallon/",0.0734994544962362,"Not so much !!"
"2001-2010","Talk & Interview","Shootout",6.3,23,2003,"http://www.tv.com/shows/shootout-talk-show/",0.00660346661489622,"Not so much !!"
"2001-2010","Drama","One Tree Hill",8.7,15824,2003,"http://www.tv.com/shows/one-tree-hill/",6.27392218573378,"Popular"
"2001-2010","Documentary","River Monsters",9.1,77,2009,"http://www.tv.com/shows/river-monsters/",0.0319327057077832,"Not so much !!"
"2001-2010","Documentary","Ancient Aliens",8.3,106,2009,"http://www.tv.com/shows/ancient-aliens/",0.0400947545050772,"Not so much !!"
"2001-2010","Suspense","River Monsters",9.1,77,2009,"http://www.tv.com/shows/river-monsters/",0.0319327057077832,"Not so much !!"
"2001-2010","Comedy","Men in Trees",8.7,1841,2006,"http://www.tv.com/shows/men-in-trees/",0.729922316982804,"Popular"
"2001-2010","Drama","Men in Trees",8.7,1841,2006,"http://www.tv.com/shows/men-in-trees/",0.729922316982804,"Popular"
"2001-2010","Game Show","Hole in the Wall",4.6,107,2008,"http://www.tv.com/shows/hole-in-the-wall/",0.0224308231045681,"Not so much !!"
"2001-2010","Action & Adventure","Ben 10: Alien Force",8.3,1371,2007,"http://www.tv.com/shows/ben-10-alien-force/",0.518584041759065,"Popular"
"2001-2010","Animation","Ben 10: Alien Force",8.3,1371,2007,"http://www.tv.com/shows/ben-10-alien-force/",0.518584041759065,"Popular"
"2001-2010","Arts","Inked",8.2,319,2004,"http://www.tv.com/shows/inked/",0.11920875066422,"Not so much !!"
"2001-2010","Talk & Interview","GMTV",6.5,49,2001,"http://www.tv.com/shows/gmtv/",0.0145148662308105,"Not so much !!"
"2001-2010","Drama","Criminal Minds: Suspect Behavior",6.7,482,2010,"http://www.tv.com/shows/criminal-minds-suspect-behavior/",0.147172084790517,"Not so much !!"
"2001-2010","Suspense","Hawaii Five-0",7.8,2532,2010,"http://www.tv.com/shows/hawaii-five-0/",0.900040195014178,"Popular"
"2001-2010","Comedy","Strange Days at Blake Holsey High",8.7,624,2002,"http://www.tv.com/shows/strange-days-at-blake-holsey-high/",0.247404413795366,"Not so much !!"
"2001-2010","Kids","Rocket Power",8.1,556,2001,"http://www.tv.com/shows/rocket-power/",0.205240664229445,"Not so much !!"
"2001-2010","Arts","Keyshia Cole: The Way It Is",7.4,15,2006,"http://www.tv.com/shows/keyshia-cole-the-way-it-is/",0.00505855620602816,"Not so much !!"
"2001-2010","Action & Adventure","Lost",9.1,46950,2004,"http://www.tv.com/shows/lost/",19.470656272473,"Popular"
"2001-2010","Game Show","Forensic Files",8.8,333,2001,"http://www.tv.com/shows/forensic-files/",0.133545883839143,"Not so much !!"
"2001-2010","Comedy","The Suite Life on Deck",7.3,1087,2008,"http://www.tv.com/shows/the-suite-life-on-deck/",0.361622967121208,"Popular"
"2001-2010","Comedy","One On One",8.5,586,2001,"http://www.tv.com/shows/one-on-one/",0.226997013173209,"Not so much !!"
"2001-2010","Travel","Dhani Tackles the Globe",8.4,14,2009,"http://www.tv.com/shows/dhani-tackles-the-globe/",0.00535933522368389,"Not so much !!"
"2001-2010","Business","Morning Joe",4.7,25,2007,"http://www.tv.com/shows/morning-joe/",0.00535477796584062,"Not so much !!"
"2001-2010","Animation","Dragon Tales",6.7,215,2001,"http://www.tv.com/shows/dragon-tales/",0.0656472992322843,"Not so much !!"
"2001-2010","Drama","The Best Years",8.7,374,2007,"http://www.tv.com/shows/the-best-years/",0.148284055704274,"Not so much !!"
"2001-2010","Health & Lifestyle","Ask This Old House",6.9,75,2002,"http://www.tv.com/shows/ask-this-old-house/",0.0235838093389151,"Not so much !!"
"2001-2010","Kids","Cory in the House",7.6,890,2006,"http://www.tv.com/shows/cory-in-the-house/",0.308252920518689,"Not so much !!"
"2001-2010","Drama","Wallander",8.8,112,2008,"http://www.tv.com/shows/wallander/",0.0449163333032554,"Not so much !!"
"2001-2010","Reality","Cake Boss",8,118,2009,"http://www.tv.com/shows/cake-boss/",0.0430205140404557,"Not so much !!"
"2001-2010","Comedy","Psych",8.9,8268,2006,"http://www.tv.com/shows/psych/",3.35346729848489,"Popular"
"2001-2010","Health & Lifestyle","Deserving Design",5.3,5,2007,"http://www.tv.com/shows/deserving-design/",0.00120767332846618,"Not so much !!"
"2001-2010","Comedy","Blue's Clues",7.7,542,2006,"http://www.tv.com/shows/blues-clues/",0.190192598830972,"Not so much !!"
"2001-2010","Drama","Aquaman (2006)",8.6,661,2005,"http://www.tv.com/shows/aquaman-2006/",0.259061879358447,"Not so much !!"
"2001-2010","Drama","Sherlock",8.8,2853,2010,"http://www.tv.com/shows/sherlock/",1.14416338316239,"Popular"
"2001-2010","Animation","Teen Titans",8.8,6158,2001,"http://www.tv.com/shows/teen-titans/",2.46959625429863,"Popular"
"2001-2010","Comedy","Californication",8.9,6854,2007,"http://www.tv.com/shows/californication/",2.77995462794091,"Popular"
"2001-2010","Drama","Father and Son",8,1,2010,"http://www.tv.com/shows/father-and-son/",0.000364580627461489,"Not so much !!"
"2001-2010","Drama","Wanted",8.6,704,2004,"http://www.tv.com/shows/wanted/",0.275914618862855,"Not so much !!"
"2001-2010","Drama","Californication",8.9,6854,2007,"http://www.tv.com/shows/californication/",2.77995462794091,"Popular"
"2001-2010","Reality","Making the Band 2",6.8,96,2001,"http://www.tv.com/shows/making-the-band-2/",0.0297497792008575,"Not so much !!"
"2001-2010","Reality","Bridezillas",6.8,108,2004,"http://www.tv.com/shows/bridezillas/",0.0334685016009647,"Not so much !!"
"2001-2010","Reality","The Surreal Life",7.7,696,2003,"http://www.tv.com/shows/the-surreal-life/",0.244232562336451,"Not so much !!"
"2001-2010","Animation","The Proud Family",7.8,640,2002,"http://www.tv.com/shows/the-proud-family/",0.227498311535969,"Not so much !!"
"2001-2010","Animation","Stanley",6.7,75,2001,"http://www.tv.com/shows/stanley/",0.0229002206624248,"Not so much !!"
"2001-2010","Health & Lifestyle","America's Next Top Model",8.1,5106,2003,"http://www.tv.com/shows/americas-next-top-model/",1.88481804236609,"Popular"
"2001-2010","Kids","The Proud Family",7.8,640,2002,"http://www.tv.com/shows/the-proud-family/",0.227498311535969,"Not so much !!"
"2001-2010","Suspense","The First 48",9.1,459,2004,"http://www.tv.com/shows/the-first-48/",0.190352102855487,"Not so much !!"
"2001-2010","Animation","Megas XLR",8.6,858,2003,"http://www.tv.com/shows/megas-xlr/",0.336270941739104,"Popular"
"2001-2010","Kids","Disney's Mickey Mouse Clubhouse",6,210,2006,"http://www.tv.com/shows/disneys-mickey-mouse-clubhouse/",0.0574214488251845,"Not so much !!"
"2001-2010","Kids","Pokemon: DP Galactic Battles",6.5,14,2008,"http://www.tv.com/shows/pokemon-dp-galactic-battles/",0.00414710463737444,"Not so much !!"
"2001-2010","Animation","Yu-Gi-Oh!",8.6,2522,2001,"http://www.tv.com/shows/yu-gi-oh/",0.988432768142215,"Popular"
"2001-2010","Comedy","Cougar Town",7.5,2171,2009,"http://www.tv.com/shows/cougar-town/",0.742035508330212,"Popular"
"2001-2010","Travel","5 Takes",5.6,17,2005,"http://www.tv.com/shows/5-takes/",0.00433850946679172,"Not so much !!"
"2001-2010","Animation","Yu-Gi-Oh!",8.7,215,2004,"http://www.tv.com/shows/yu-gi-oh/",0.0852435079583394,"Not so much !!"
"2001-2010","Action & Adventure","Homeland Security USA",7.3,36,2008,"http://www.tv.com/shows/homeland-security-usa/",0.0119764736121099,"Not so much !!"
"2001-2010","Drama","Homeland Security USA",7.3,36,2008,"http://www.tv.com/shows/homeland-security-usa/",0.0119764736121099,"Not so much !!"
"2001-2010","Game Show","Homeland Security USA",7.3,36,2008,"http://www.tv.com/shows/homeland-security-usa/",0.0119764736121099,"Not so much !!"
"2001-2010","Animation","Transformers Animated",8.7,597,2006,"http://www.tv.com/shows/transformers-animated/",0.236699415121528,"Not so much !!"
"2001-2010","Animation","Word World",7.9,38,2007,"http://www.tv.com/shows/word-world/",0.0136808880454924,"Not so much !!"
"2001-2010","Kids","Transformers Animated",8.7,597,2006,"http://www.tv.com/shows/transformers-animated/",0.236699415121528,"Not so much !!"
"2001-2010","Science Fiction","Transformers Animated",8.7,597,2006,"http://www.tv.com/shows/transformers-animated/",0.236699415121528,"Not so much !!"
"2001-2010","Suspense","CSI: NY",8.7,9813,2004,"http://www.tv.com/shows/csi-ny/",3.89067229579155,"Popular"
"2001-2010","Comedy","The Country Mouse and City Mouse Adventures",6.7,8,2010,"http://www.tv.com/shows/the-country-mouse-and-city-mouse-adventures/",0.00244269020399198,"Not so much !!"
"2001-2010","Kids","Dinosaur Train",7.6,33,2009,"http://www.tv.com/shows/dinosaur-train/",0.0114296026709177,"Not so much !!"
"2001-2010","Kids","Ben 10",8.5,2401,2004,"http://www.tv.com/shows/ben-10/",0.930067966943475,"Popular"
"2001-2010","News","Morning Joe",4.7,25,2007,"http://www.tv.com/shows/morning-joe/",0.00535477796584062,"Not so much !!"
"2001-2010","Game Show","The Bachelor",5.3,983,2002,"http://www.tv.com/shows/the-bachelor/",0.237428576376451,"Not so much !!"
"2001-2010","Reality","The Bachelor",5.3,983,2002,"http://www.tv.com/shows/the-bachelor/",0.237428576376451,"Not so much !!"
"2001-2010","Sports","Pardon the Interruption",8.8,546,2001,"http://www.tv.com/shows/pardon-the-interruption/",0.21896712485337,"Not so much !!"
"2001-2010","Reality","Roseanne's Nuts",8.4,12,2010,"http://www.tv.com/shows/roseannes-nuts/",0.00459371590601476,"Not so much !!"
"2001-2010","Action & Adventure","Ponderosa",6,22,2001,"http://www.tv.com/shows/ponderosa/",0.00601558035311457,"Not so much !!"
"2001-2010","Animation","Clone High",8.7,661,2002,"http://www.tv.com/shows/clone-high/",0.262074226792848,"Not so much !!"
"2001-2010","Comedy","Clone High",8.7,661,2002,"http://www.tv.com/shows/clone-high/",0.262074226792848,"Not so much !!"
"2001-2010","Fantasy","Clone High",8.7,661,2002,"http://www.tv.com/shows/clone-high/",0.262074226792848,"Not so much !!"
